Projeto,Ano,Tipo,Autor,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto
5544.0,2013.0,Requerimento,Dr. Fiorilo,Solicita que a SETTRA implemente estudos para abrir acesso do trevo do Carrefour para rua Aurora Torre na av Barão do Rio Branco,Arquivada,REQ,46399,09/07/2013
5543.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita ampliação dos horários do transporte urbano da linha 218, Graminha",Arquivada,REQ,46397,09/07/2013
5542.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita colocação de placa com aviso de proibição de jogar lixo e entulho na rua Waldemar Pereira, bairro Cruzeiro do Sul",Arquivada,REQ,46395,09/07/2013
5541.0,2013.0,Requerimento,Isauro Calais,"Solicita construção de rede de captação de águas pluviais na rua Ambrosina Nunes Almeida, no bairro Jóquei Clube.",Arquivada,REQ,46035,09/07/2013
5540.0,2013.0,Requerimento,Isauro Calais,"Solicita poda e corte de árvore na rua Aleixo Magaldi, no bairro JK.",Arquivada,REQ,46034,09/07/2013
5539.0,2013.0,Requerimento,Chico Evangelista,"Solicita junto a Empav, poda de árvores na rua Santo Antônio, no Centro.",Arquivada,REQ,46149,09/07/2013
5538.0,2013.0,Requerimento,Chico Evangelista,"Solicita junto a Settra, possibilidade de implantação de área de embarque e desembarque na rua Benjamin Constant, no bairro Santa Helena.",Arquivada,REQ,46148,09/07/2013
5537.0,2013.0,Requerimento,Chico Evangelista,Solicita operação tapa buraco na rua Raimundo Hargreaves.,Arquivada,REQ,46147,09/07/2013
5536.0,2013.0,Requerimento,Chico Evangelista,"Solicita junto a Empav, operação tapa buraco na rua Engenheiro Geraldo Magela, no bairro Recanto da Mata.",Arquivada,REQ,46146,09/07/2013
5535.0,2013.0,Requerimento,Chico Evangelista,"Solicita que indique ao órgão competente, a possibilidade de pactuar a inseminação artificial nos hospitais credenciados em Belo Horizonte.",Arquivada,REQ,46145,09/07/2013
5534.0,2013.0,Requerimento,Chico Evangelista,"Solicita colocação de um braço e de uma lâmpada em um poste da rua Augusto Eckmam, no bairro Jardim Natal.",Arquivada,REQ,46144,09/07/2013
5533.0,2013.0,Requerimento,Chico Evangelista,"Solicita junto a Settra, estudo para apurar a possibilidade de mão única na rua Elisa de Araújo Braga, no bairro Industrial.",Arquivada,REQ,46143,09/07/2013
5532.0,2013.0,Requerimento,Chico Evangelista,"Solicita junto a Secretaria de Obras, reformar as tampas das bocas de lobo do bairro Cerâmica.",Arquivada,REQ,46142,09/07/2013
5531.0,2013.0,Requerimento,Chico Evangelista,"Solicita junto a Secretaria de Obras passar uma patrol na rua de chão do condomínio Porto Seguro, no bairro Linhares.",Arquivada,REQ,46141,09/07/2013
5530.0,2013.0,Requerimento,Cido Reis,Solicita limpeza e capina no terreno localizado na rua José Basílio da Costa ao lado do número 105 no bairro Jóquei Clube I.,Arquivada,REQ,46445,09/07/2013
5529.0,2013.0,Requerimento,Cido Reis,"Solicita asfalto em toda extensão da Rua do Vale, bairro Nova Era I.",Arquivada,REQ,46443,09/07/2013
5528.0,2013.0,Requerimento,Cido Reis,"Solicita limpeza de duas bocas de lobo na Rua Ana Moreira em frente ao número 11, bairro Bela Aurora.",Arquivada,REQ,46442,09/07/2013
5527.0,2013.0,Requerimento,Cido Reis,Solicita coleta seletiva em todos os bairros da Zona Sul de Juiz de Fora.,Arquivada,REQ,46441,09/07/2013
5526.0,2013.0,Requerimento,Cido Reis,Solicita tapa buraco na Rua Evaristo da Veiga em frente ao número 33 no bairro Benfica.,Arquivada,REQ,46439,09/07/2013
5525.0,2013.0,Requerimento,Cido Reis,"Solicita limpeza de duas bocas de lobo na Rua Doutor Costa Reis em frente ao número 206, bairro Bela Aurora.",Arquivada,REQ,46437,09/07/2013
