Projeto,Ano,Tipo,Ementa,Situação,Codigo_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
5221,2017,Requerimento,"Solicita recapeamento asfáltico em toda extensão da Rua Barão de Santa Helena, no bairro Granbery",Aprovado,REQ,64653,,,
5220,2017,Requerimento,"Solicita operação tapa buraco na Rua Doutor Ávila, no bairro Paineiras",Aprovado,REQ,64636,,,
5219,2017,Requerimento,"Solicita operação tapa buraco na Rua Professor Villas Bouçadas, no bairro Santos Dumont",Aprovado,REQ,64630,,,
5218,2017,Requerimento,"Solicita operação tapa buraco na Rua Cloves Seroa da Mota, no bairro São Geraldo",Aprovado,REQ,64628,,,
5217,2017,Requerimento,"Solicita operação tapa buraco em toda extensão da Rua Capitão Arnaldo de Carvalho, no bairro Jardim Glória",Aprovado,REQ,64622,,,
5216,2017,Requerimento,"Solicita operação tapa buraco em toda extensão da Rua Santos Dumont, no bairro Granbery",Aprovado,REQ,64613,,,
5215,2017,Requerimento,"Solicita operação tapa buraco na Rua Barão de Santa Helena, no bairro Granbery.",Aprovado,REQ,64612,,,
5214,2017,Requerimento,"Solicita operação tapa buraco em toda extensão da Rua Princesa Isabel, no bairro Granbery",Aprovado,REQ,64609,,,
5213,2017,Requerimento,"Solicita capina e limpeza em toda extensão da rua José Lourenço Kelmer, no bairro São Pedro",Aprovado,REQ,64603,,,
5212,2017,Requerimento,"Solicita capina e limpeza na Rua Ilva Pinto Machado, no bairro Santa Efigênia",Aprovado,REQ,64597,,,
5211,2017,Requerimento,"Solicita operação tapa buraco em toda extensão da Rua Doutor Costa Reis, no bairro Bela Aurora",Aprovado,REQ,64594,,,
5210,2017,Requerimento,"Solicita operação tapa buraco em toda extensão da Rua José Claudio de Souza, no bairro Bela Aurora",Aprovado,REQ,64591,,,
5209,2017,Requerimento,"Solicita capina e limpeza na Avenida Brasil, nas proximidades do Rio Paraibuna.",Aprovado,REQ,64428,,,
5208,2017,Requerimento,Tapa buraco rua José Eutrópio,Aprovado,REQ,64575,,,
