Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
2143,2012,Requerimento,"Solicita que seja efetuada a limpeza do córrego Três Pontes, situado no bairro Benfica.",Em Tramitação,Wanderson Castelar,REQ,18454,,,
2142,2012,Requerimento,"Solicita realizar o reparo no gradil de proteção na esquina da Rua dos Guararapes com a Rua Inês Garcia, no bairro Benfica.",Em Tramitação,Wanderson Castelar,REQ,18453,,,
2141,2012,Requerimento,"Solicita em caráter emergencial, para que seja efetuada a limpeza das Bocas de lobo, ""bueiros"" da Rua Branca Mascarenhas, na altura do número 255, no bairro Monte Castelo.",Em Tramitação,Wanderson Castelar,REQ,28512,,,
2140,2012,Requerimento,"Solicita a construção de bocas de lobo para captação de águas pluviais na rua Barão do Retiro, no trajeto compreendido entre o n° 25 até a UAPS do Marumbi.",Em Tramitação,Ana do Padre Frederico,REQ,10930,,,
2139,2012,Requerimento,"Solicita a limpeza e capina da praça da rua Barão do Retiro com a rua Francisco Faria, bairro Bonfim.",Em Tramitação,Ana do Padre Frederico,REQ,32205,,,
2138,2012,Requerimento,Solicita a limpeza do córrego no bairro Vila Esperança.,Em Tramitação,Ana do Padre Frederico,REQ,27128,,,
2137,2012,Requerimento,"Solicita a colocação da tampa da boca de lobo localizada na rua Francisco Faria com a rua Barão do Retiro, próximo à praça, bairro Bonfim.",Em Tramitação,Ana do Padre Frederico,REQ,32204,,,
2135,2012,Requerimento,"Solicita que a SETTRA providencie a afixação de cartazes com os dizeres ""É proibido o uso de quaisquer aparelhos sonoros sem os fones de ouvido no interior dos coletivos urbanos, ficando o infrator sujeito à aplicação de multa e retirada do veículo, mediante força policial",Em Tramitação,Fiorilo,REQ,24120,,,
2133,2012,Requerimento,"Solicita que sejam tomadas as devidas providências, no sentido de retirar a guia para uso de deficientes visuais, instalada no traffic calming localizado na Rua Santo Antonio com Marechal Deodoro, na região central da cidade.",Em Tramitação,Betão,REQ,5408,,,
2132,2012,Requerimento,"Solicita a LIMPEZA DAS GALERIAS DE CAPTAÇÃO DE AGUAS PLUVIAIS, da Rua Ridel Pereira da Silva, Bairro Parque das Torres.",Em Tramitação,Isauro Calais,REQ,6858,,,
2131,2012,Requerimento,Solicita a criação da Comissão Municipal da Verdade no âmbito do Município de Juiz de Fora.,Em Tramitação,Flávio Cheker,REQ,39120,,,
2130,2012,Requerimento,Solicita a capina e limpeza das Ruas do Bairro Bairu.,Em Tramitação,Flávio Cheker,REQ,33021,,,
2129,2012,Requerimento,"Solicita o recapeamento asfáltico da Rua Ribeiro de Abreu , bairro Bairu.",Em Tramitação,Flávio Cheker,REQ,33020,,,
2128,2012,Requerimento,"Solicita a limpeza e melhoramento da iluminação na escada situada ao final da Rua Dr. José Barbosa, bairro São Mateus.",Em Tramitação,Flávio Cheker,REQ,21883,,,
2126,2012,Requerimento,"Solicita a construção de boca de lobo na rua Marciano Pinto, bairro Sagrado Coração de Jesus.",Em Tramitação,Isauro Calais,REQ,27765,,,
2125,2012,Requerimento,"Solicita a liberação para viagem administrativa a Belo Horizonte, e a disponibilização de um veículo com motorista para a mesma.",Em Tramitação,Noraldino Junior,REQ,353,,,
2124,2012,Requerimento,"SOLICITA A IMPLANTAÇÃO DE BOCA DE LOBO NA RUA SANTO ANTÔNIO, CENTRO.",Em Tramitação,Noraldino Junior,REQ,34617,,,
2123,2012,Requerimento,"Solicita arrumar uma tampa de esgoto na Rua Mariano Fontes , bairro Jardim São João.",Em Tramitação,Chico Evangelista,REQ,36921,,,
