Projeto,Ano,Tipo,Autor,Ementa,Situação
2152.0,2012.0,Requerimento,Julio Gasparette,"Solicita a capina e limpeza em toda extensão da Rua José Irineu dos Reis, bairro Granjas Bethania.",Em Tramitação
2151.0,2012.0,Requerimento,Julio Gasparette,"Solicita operação tapa buraco em toda extensão da rua José Irineu dos Reis, bairro Granjas Bethania.",Em Tramitação
2150.0,2012.0,Requerimento,Chico Evangelista,Solicita a colocação de uma placa de carga e descarga na rua Bernardo Mascarenhas.,Em Tramitação
2149.0,2012.0,Requerimento,Noraldino Junior,Solicita audiencia pública para tratarmos sobre segurança no municipio com foco na formação e combate das gangues da cidade.,Em Tramitação
2148.0,2012.0,Requerimento,Júlio Gasparette,"Solicita a revitalização dos brinquedos da praça na rua Aníbal Alves, bairro Nossa Senhora das Graças",Em Tramitação
2147.0,2012.0,Requerimento,Julio Gasparette,"Solicita a troca de areia do Parque da praça na rua Aníbal Alves, bairro Nossa Senhora das Graças.",Em Tramitação
2146.0,2012.0,Requerimento,Júlio Gasparette,"Solicita a capina e limpeza em toda extensão da rua Aníbal Alves, Bairro Nossa Senhora da Graças",Em Tramitação
2145.0,2012.0,Requerimento,Julio Gasparette,Solicita a capina e limpeza em toda extensão das margens do córrego da Tapera.,Em Tramitação
2144.0,2012.0,Requerimento,João do Joaninho,"Solicita a limpeza e capina de uma Rua Ladeira Alexandre Leonel, no bairro Cascatinha, pois a rua esta com o mato muito alto, atrapalhando a passagem dos moradores da região",Em Tramitação
2143.0,2012.0,Requerimento,Wanderson Castelar,"Solicita que seja efetuada a limpeza do córrego Três Pontes, situado no bairro Benfica.",Em Tramitação
2142.0,2012.0,Requerimento,Wanderson Castelar,"Solicita realizar o reparo no gradil de proteção na esquina da Rua dos Guararapes com a Rua Inês Garcia, no bairro Benfica.",Em Tramitação
2141.0,2012.0,Requerimento,Wanderson Castelar,"Solicita em caráter emergencial, para que seja efetuada a limpeza das Bocas de lobo, ""bueiros"" da Rua Branca Mascarenhas, na altura do número 255, no bairro Monte Castelo.",Em Tramitação
2140.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a construção de bocas de lobo para captação de águas pluviais na rua Barão do Retiro, no trajeto compreendido entre o n° 25 até a UAPS do Marumbi.",Em Tramitação
2139.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a limpeza e capina da praça da rua Barão do Retiro com a rua Francisco Faria, bairro Bonfim.",Em Tramitação
2138.0,2012.0,Requerimento,Ana do Padre Frederico,Solicita a limpeza do córrego no bairro Vila Esperança.,Em Tramitação
2137.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a colocação da tampa da boca de lobo localizada na rua Francisco Faria com a rua Barão do Retiro, próximo à praça, bairro Bonfim.",Em Tramitação
2135.0,2012.0,Requerimento,Fiorilo,"Solicita que a SETTRA providencie a afixação de cartazes com os dizeres ""É proibido o uso de quaisquer aparelhos sonoros sem os fones de ouvido no interior dos coletivos urbanos, ficando o infrator sujeito à aplicação de multa e retirada do veículo, mediante força policial",Em Tramitação
2133.0,2012.0,Requerimento,Betão,"Solicita que sejam tomadas as devidas providências, no sentido de retirar a guia para uso de deficientes visuais, instalada no traffic calming localizado na Rua Santo Antonio com Marechal Deodoro, na região central da cidade.",Em Tramitação
2132.0,2012.0,Requerimento,Isauro Calais,"Solicita a LIMPEZA DAS GALERIAS DE CAPTAÇÃO DE AGUAS PLUVIAIS, da Rua Ridel Pereira da Silva, Bairro Parque das Torres.",Em Tramitação
2131.0,2012.0,Requerimento,Flávio Cheker,Solicita a criação da Comissão Municipal da Verdade no âmbito do Município de Juiz de Fora.,Em Tramitação
2130.0,2012.0,Requerimento,Flávio Cheker,Solicita a capina e limpeza das Ruas do Bairro Bairu.,Em Tramitação
2129.0,2012.0,Requerimento,Flávio Cheker,"Solicita o recapeamento asfáltico da Rua Ribeiro de Abreu , bairro Bairu.",Em Tramitação
2128.0,2012.0,Requerimento,Flávio Cheker,"Solicita a limpeza e melhoramento da iluminação na escada situada ao final da Rua Dr. José Barbosa, bairro São Mateus.",Em Tramitação
2126.0,2012.0,Requerimento,Isauro Calais,"Solicita a construção de boca de lobo na rua Marciano Pinto, bairro Sagrado Coração de Jesus.",Em Tramitação
2125.0,2012.0,Requerimento,Noraldino Junior,"Solicita a liberação para viagem administrativa a Belo Horizonte, e a disponibilização de um veículo com motorista para a mesma.",Em Tramitação
2124.0,2012.0,Requerimento,Noraldino Junior,"SOLICITA A IMPLANTAÇÃO DE BOCA DE LOBO NA RUA SANTO ANTÔNIO, CENTRO.",Em Tramitação
2123.0,2012.0,Requerimento,Chico Evangelista,"Solicita arrumar uma tampa de esgoto na Rua Mariano Fontes , bairro Jardim São João.",Em Tramitação
2122.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a colocação de corrimão e iluminação no escadão na rua Manoel Lage, bairro Bonfim.",Em Tramitação
2121.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a capina iluminação e restauração dos degraus em um escadão que liga a rua AugustoVicente Vieira, bairro Santa Rita com a Rua Alvina de Araújo Alves, no bairro Alto Grajaú.",Em Tramitação
2120.0,2012.0,Requerimento,Gasparette,"Solicita o recapeamento asfáltico em toda extensão da Av. Rui Barbosa, bairro Santa Terezinha.",Em Tramitação
2119.0,2012.0,Requerimento,Gasparette,"Solicita o recapeamento asfáltico em toda extensão da rua Paracatu, bairro Santa Terezinha.",Em Tramitação
2118.0,2012.0,Requerimento,Gasparette,"Solicita o recapeamento asfáltico em toda extensão da Rua Sargento Cunha, bairro Bandeirantes.",Em Tramitação
2117.0,2012.0,Requerimento,Gasparette,Solicita o recapeamento asfáltico em todas as ruas do bairro Granjas Triunfo.,Em Tramitação
2116.0,2012.0,Requerimento,Gasparette,"Solicita a pintura das faixas de sinalização na rua Paracatu, bairro Santa Terezinha.",Em Tramitação
2115.0,2012.0,Requerimento,Gasparette,"Solicita a operação tapa buraco em toda extensão da rua José Líbano Rodrigues, Bairro Bandeirantes.",Em Tramitação
2114.0,2012.0,Requerimento,Gasparette,"Solicita a operação tapa buraco na Av. Rui Barbosa, bairro Santa Terezinha.",Em Tramitação
2113.0,2012.0,Requerimento,Gasparette,"Solicita operação tapa buraco em toda extensão da rua Marcelino Vaz de Magalhães, bairro Bandeirantes.",Em Tramitação
2112.0,2012.0,Requerimento,Gasparette,"Solicita a operação tapa buraco em toda extensão da rua Esperanto, bairro Bandeirantes.",Em Tramitação
2111.0,2012.0,Requerimento,Gasparette,"Solicita a implantação de redutor de velocidade na rua Luiz Rocha, bairro Eldorado.",Em Tramitação
2110.0,2012.0,Requerimento,Gasparette,"Solicita a implantação de redutor de velocidade na rua José Eutropio, bairro Santa Terezinha.",Em Tramitação
2109.0,2012.0,Requerimento,Gasparette,"Solicita passar máquina em toda extensão da rua Francisco Faier Sobrinho, bairro Santos Dumont.",Em Tramitação
2108.0,2012.0,Requerimento,Gasparette,"Solicita a implantação de placas dde sinalização de carga e descarga, na rua Deputado Oliveira Souza, bairro Centro.",Em Tramitação
2107.0,2012.0,Requerimento,Gasparette,"Solicita a recomposição asfáltica em toda extensão da rua Roberto Stigert, bairro São Pedro.",Em Tramitação
2106.0,2012.0,Requerimento,Gasparette,"Solicita a retirada de terra em toda extensão da rua Roberto Stigert, bairro São Pedro.",Em Tramitação
2105.0,2012.0,Requerimento,Gasparette,Solicita jogar escória em toda extensão da estrada José Elias Mokdeci ate o bairro Pedra Branca.,Em Tramitação
2104.0,2012.0,Requerimento,Gasparette,"Solicita implantação de placas de sinalização parada de 10 minutos na rua Deputado Oliveira Souza, bairro Centro.",Em Tramitação
