Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
2352,2015,Requerimento,Solicita reforma do campo do Bairro Granjas Bethania.,Arquivada,Júlio Gasparette,REQ,53888,25/08/2015,SIM,SIM
2351,2015,Requerimento,Solicita instalação de boca de lobo no final da Rua Nove de Julho no Bairro Granjas Bethania.,Arquivada,Júlio Gasparette,REQ,53887,25/08/2015,SIM,SIM
2350,2015,Requerimento,Solicita substituição de luminária danificada na Rua Coronel Quintão próximo ao número 659 no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53886,25/08/2015,SIM,SIM
2349,2015,Requerimento,Solicita asfaltamento da Rua B no Bairro Realeza.,Arquivada,Júlio Gasparette,REQ,53885,25/08/2015,SIM,SIM
2348,2015,Requerimento,Solicita instalação de poste com luminária no final da Rua Nove de Julho no Bairro Granjas Bethania.,Arquivada,Júlio Gasparette,REQ,53884,25/08/2015,SIM,SIM
2347,2015,Requerimento,Solicita complemento do asfalto na Rua Maria Belo Silva no Bairro Grama.,Arquivada,Júlio Gasparette,REQ,53883,Data nao encontrada,SIM,NAO
2346,2015,Requerimento,Solicita recapeamento asfáltico na Rua Coronel Quintão no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53882,25/08/2015,SIM,SIM
2345,2015,Requerimento,Solicita recapeamento asfáltico na Rua Itacolomi no Bairro Monte Castelo,Arquivada,Júlio Gasparette,REQ,53881,25/08/2015,SIM,SIM
2344,2015,Requerimento,Solicita recapeamento asfáltico na Rua Joaquim Borges Pereira no Bairro Granjas Bethania.,Arquivada,Júlio Gasparette,REQ,53880,25/08/2015,SIM,SIM
2343,2015,Requerimento,Solicita fiscalização e notoficação do proprietário do terreno para que o mesmo proceda a capina e limpeza do local na Rua Capitão Arnaldo de Carvalho ao lado do numero 375 no Bairro Jardim Glória,Arquivada,Júlio Gasparette,REQ,53879,25/08/2015,SIM,SIM
2342,2015,Requerimento,Solicita poda de arvores na Rua Itacolomi no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53877,25/08/2015,SIM,SIM
2341,2015,Requerimento,Solicita a colocação de cascalho na estrada da localidade da Varginha.,Arquivada,Dr. Fiorilo,REQ,53919,25/08/2015,SIM,SIM
2340,2015,Requerimento,"Solicita a limpeza de lixo e entulho lançados em terreno situado próximo ao nº 240, na Rua Deli Faria Dazini.",Arquivada,Dr. Fiorilo,REQ,53918,25/08/2015,SIM,SIM
2339,2015,Requerimento,"Solicita limpeza de boca de lobo na rua Henrique Dias, em frente ao nº 539, bairro Benfica.",Arquivada,Cido Reis,REQ,53937,25/08/2015,SIM,SIM
2338,2015,Requerimento,Solicita troca da caixa de areia da praça do bairro Jóquei Clube II.,Arquivada,Cido Reis,REQ,53936,25/08/2015,SIM,SIM
2337,2015,Requerimento,"Solicita limpeza da praça do bairro Ipiranga, localizada na Rua Dr. Etiene Loures.",Arquivada,Cido Reis,REQ,53935,25/08/2015,SIM,SIM
2336,2015,Requerimento,"Solicita limpeza de boca de lobo na rua Henrique Dias, em frente ao nº 580.",Arquivada,Cido Reis,REQ,53934,25/08/2015,SIM,SIM
2335,2015,Requerimento,Solicita operação tapa buraco em toda extensão da rua Irmão Menrado.,Arquivada,Cido Reis,REQ,53933,25/08/2015,SIM,SIM
2334,2015,Requerimento,Solicita operação tapa buraco em toda extensão da rua Humberto Menini.,Arquivada,Cido Reis,REQ,53932,25/08/2015,SIM,SIM
2333,2015,Requerimento,Solicita pintura de sinalização horizontal em toda extensão da rua Ivan Batista de Oliveira.,Arquivada,Executivo,REQ,53931,25/08/2015,SIM,SIM
2332,2015,Requerimento,"Solicita reconstrução de boca de lobo na Rua José Barbosa de Almeida, em frente ao número 217.",Arquivada,Cido Reis,REQ,53930,25/08/2015,SIM,SIM
2331,2015,Requerimento,Solicita operação tapa buraco em toda extensão da Rua Augusto G. Pontes.,Arquivada,Cido Reis,REQ,53929,25/08/2015,SIM,SIM
2330,2015,Requerimento,Solicita operação tapa buraco em toda extensão da Rua Francisco dos Santos.,Arquivada,Cido Reis,REQ,53928,25/08/2015,SIM,SIM
2329,2015,Requerimento,Solicita operação tapa buraco em toda extensão da rua Silvino Augusto Moreira.,Arquivada,Cido Reis,REQ,53927,25/08/2015,SIM,SIM
2328,2015,Requerimento,Solicita troca da caixa de areia da praça do Bairro Milho Branco.,Arquivada,Cido Reis,REQ,53926,25/08/2015,SIM,SIM
2327,2015,Requerimento,"Solicita limpeza de boca de lobo na Rua Martins Barbosa, em frente ao numero 1171.",Arquivada,Cido Reis,REQ,53925,25/08/2015,SIM,SIM
2326,2015,Requerimento,"Solicita limpeza de boca de lobo na rua Henrique Dias, em frente ao nº 490.",Arquivada,Cido Reis,REQ,53924,25/08/2015,SIM,SIM
2325,2015,Requerimento,Solicita poda de árvore em toda extensão da Rua Elvira Bellei.,Arquivada,Cido Reis,REQ,53923,25/08/2015,SIM,SIM
2324,2015,Requerimento,Solicita recuperação da tampa do bueiro localizado na Travessa Vicente Bruger.,Arquivada,Wanderson Castelar,REQ,53917,25/08/2015,SIM,SIM
2323,2015,Requerimento,"Solicita colocação de escória na Rua da Mina, no bairro Granjas Bethânia.",Arquivada,José Laerte,REQ,53916,25/08/2015,SIM,SIM
2322,2015,Requerimento,Solicita uma audiência pública para discussão sobre a pretendida implantação de empreendimento habitacional da Empresa Regional de Habitação de Juiz de Fora S.A. — EMCASA.,Arquivada,Dr. Fiorilo,REQ,57498,25/08/2015,SIM,SIM
2321,2015,Requerimento,"Solicita junto a SETTRA, para que estude a viabilidade de instalação de quebra molas na Rua Dr. Eurico Viana, Vila Alpina.",Arquivada,Betão,REQ,53870,24/08/2015,SIM,SIM
2320,2015,Requerimento,"Solicita manutenção no asfalto da Rua Eurico Viana, Vila Alpina, em toda sua extensão.",Arquivada,Betão,REQ,53869,24/08/2015,SIM,SIM
2319,2015,Requerimento,Solicita revitalização da sinalização vertical na esquina da Av. Sete de Setembro com Rua Cesário Alvim.,Arquivada,Betão,REQ,53868,24/08/2015,SIM,SIM
2318,2015,Requerimento,Solicita poda de árvores na Rua Elvira Bellei no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53867,Data nao encontrada,SIM,NAO
2317,2015,Requerimento,Solicita poda de árvores na Rua Iguaçu no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53866,24/08/2015,SIM,SIM
2316,2015,Requerimento,Solicita poda de árvores na Av. Santa Luzia no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53865,24/08/2015,SIM,SIM
2315,2015,Requerimento,Solicita nivelamento da tampa de esgoto com a pista asfáltica na Rua Antonio Espanhol Celeste no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53864,Data nao encontrada,SIM,NAO
2314,2015,Requerimento,"Solicita notificação de proprietário do terreno para que o mesmo proceda a capina, limpeza e cercamento do local na Rua Manoel Moreira de Moraes próximo ao número 1460 no Bairro Jardim América",Arquivada,Júlio Gasparette,REQ,53863,24/08/2015,SIM,SIM
2313,2015,Requerimento,Solicita instalaçlão de bocas de lobo na parte alta da Rua Iguaçu no Bairro Monte Castelo,Arquivada,Júlio Gasparette,REQ,53862,24/08/2015,SIM,SIM
2312,2015,Requerimento,Solicita capina e varrição em todas as ruas do Bairro Quintas Avenida.,Arquivada,Júlio Gasparette,REQ,53861,24/08/2015,SIM,SIM
2311,2015,Requerimento,Solicita retirada de entulhos descartados irregularmente na Rua Agulhas Negras no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53860,24/08/2015,SIM,SIM
2310,2015,Requerimento,Solicita substituição de luminárias que se encontram danificadas na Rua Manoel Moreira de Moraes no Bairro Jardim América.,Arquivada,Júlio Gasparette,REQ,53853,24/08/2015,SIM,SIM
2309,2015,Requerimento,"Solicita recapeamento asfáltico em toda extensão da Rua Iguaçu, no Bairro Monte Castelo.",Arquivada,Júlio Gasparette,REQ,53851,24/08/2015,SIM,SIM
2308,2015,Requerimento,Solicita limpeza e capina na Av. Santa Luzia no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53852,24/08/2015,SIM,SIM
2307,2015,Requerimento,Solicita limpeza e capina na Rua Antonio Espanhol no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53850,24/08/2015,SIM,SIM
2306,2015,Requerimento,Solicita operação tapa buraco na Rua Elvira Bellei no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53848,24/08/2015,SIM,SIM
2305,2015,Requerimento,Solicita operação tapa buracos em toda extensão da Rua Agulhas Negras no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53847,24/08/2015,SIM,SIM
2304,2015,Requerimento,Solicita operação tapa buracos na Av. Santa Luzia no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53845,24/08/2015,SIM,SIM
2303,2015,Requerimento,Solicita poda de árvores em toda extensão da Rua das Agulhas Negras da Rua Elvira Bellei no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53844,24/08/2015,SIM,SIM
2302,2015,Requerimento,Solicita limpeza de bocas de lobo e substituição das grades de proteção danificadas na Rua Elvira Bellei no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53843,24/08/2015,SIM,SIM
2301,2015,Requerimento,Solicita impeza de bocas de lobo na Av. Santa Luzia no Bairro Santa Luzia.,Arquivada,Júlio Gasparette,REQ,53842,24/08/2015,SIM,SIM
2300,2015,Requerimento,Solicita limpeza de bocas de lobo na Rua Iguaçu no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53841,24/08/2015,SIM,SIM
2299,2015,Requerimento,Solicita sinalização de todas as ruas do Bairro Caeté.,Arquivada,Ana Rossignoli,REQ,53840,24/08/2015,SIM,SIM
2298,2015,Requerimento,Solicita limpeza do córrego Ribeirão de Marmelos no Bairro Terras Altas e em toda a sua extensão.,Arquivada,Ana Rossignoli,REQ,53839,Data nao encontrada,SIM,NAO
2297,2015,Requerimento,Solicita construção de um escadão entre as ruas Capitão Bicalho ao lado do n° 155 e a rua José Inácio n° 12 no bairro Ladeira.,Arquivada,Ana Rossignoli,REQ,53838,24/08/2015,SIM,SIM
2296,2015,Requerimento,"Solicita um muro de contenção em caráter de urgência na Rua José Inácio da Trindade do n° 38 ao 68, no bairro Ladeira.",Arquivada,Ana Rossignoli,REQ,53837,24/08/2015,SIM,SIM
2295,2015,Requerimento,"Solicita verificação do estado em que se encontra um bueiro e anexo o registro de controle do fornecimento de água do bairro, ambos instalados com certo rebaixamento em relação ao nivel da Rua Branca Mascarenhas, n° 500, em frente ao Ponto de Apoio Policial e a sede da Associação de Moradores no bairro Monta Castelo.",Arquivada,Wanderson Castelar,REQ,53827,21/08/2015,SIM,SIM
2294,2015,Requerimento,"Solicita implantação de meio fio na rua Energina Ernesto Guilherme, N°325, no Bairro de Lurdes.",Arquivada,Leo de Oliveira,REQ,53822,21/08/2015,SIM,SIM
