Projeto,,Ano,,Tipo,,Autor,,Ementa,,Situação
5820,   ,2013,,Requerimento,,Noraldino Júnior,,"Solicita a implantação de ""Traffic Calmming"" (Travessia de Pedestre Elevada) na Av. Desudedith Salgado no Bairro Teixeiras.",,Em Tramitação
,,,,,,,,,,
5819,   ,2013,,Requerimento,,Chico Evangelista,,"Solicita junto a secretaria de Obras reforma no calçamento no terreno da Cesama da rua General Almerindo da Silva Gomes, no bairro Nova Era.",,Arquivada
,,,,,,,,,,
5818,   ,2013,,Requerimento,,Cido Reis,,Solicita a identificação e notificação de um imóvel localizado na Rua Monir Simão Esfer em frente ao número 41 no bairro Alto Grajaú.,,Arquivada
,,,,,,,,,,
5817,   ,2013,,Requerimento,,Cido Reis,,Solicita a identificação e notificação de um imóvel localizado na esquina da Rua Simão Esfer localizado no bairro Alto Grajaú.,,Arquivada
,,,,,,,,,,
5816,   ,2013,,Requerimento,,Cido Reis,,"Solicita capina e limpeza em toda extensão na Praça localizada na Rua Alvina Alves, número 286, bairro Grajaú.",,Arquivada
,,,,,,,,,,
5815,   ,2013,,Requerimento,,Cido Reis,,"Solicita capina e limpeza em toda extensão da Rua Alvina Alves, bairro Alto Grajaú.",,Arquivada
,,,,,,,,,,
5814,   ,2013,,Requerimento,,Cido Reis,,Solicita sinalização horizontal em toda extensão do HPS.,,Arquivada
,,,,,,,,,,
5813,   ,2013,,Requerimento,,Cido Reis,,"Solicita capina e limpeza em toda extensão no Escadão localizado na Rua Alvina Alves numero 286, bairro Alto Grajaú.",,Arquivada
,,,,,,,,,,
5812,   ,2013,,Requerimento,,Cido Reis,,Solicita capina e limpeza no acesso norte em frente à IMBEL.,,Arquivada
,,,,,,,,,,
5811,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita colocação de um muro de contenção no trecho do córrego situado à Rua Aleixo Martins Neto, nº 307, Bairro Marumbi.",,Arquivada
,,,,,,,,,,
5810,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a construção de uma boca de lobo na Av. Engenheiro José Márcio Paschoalino, no Bairro Jardim Gaúcho.",,Arquivada
,,,,,,,,,,
5809,   ,2013,,Requerimento,,Betão,,"Solicita destocamento de arvores na rua Ambrósio Braga, no bairro Granbery.",,Arquivada
,,,,,,,,,,
5808,   ,2013,,Requerimento,,Betão,,"Solicita junto a Cesama, ligação de água na rua Athos Branco da Rosa, no bairro São Benedito.",,Arquivada
,,,,,,,,,,
5807,   ,2013,,Requerimento,,Betão,,"Solicita fiscalização ostensiva nas agências bancárias de Juiz de Fora, a fim de fazer cumprir a Lei municipal nº 11.928/2009.",,Arquivada
,,,,,,,,,,
5806,   ,2013,,Requerimento,,Betão,,Solicita fornecer cópias do mapeamento do Estudo de Risco da Cidade de Juiz de Fora.,,Arquivada
,,,,,,,,,,
5805,   ,2013,,Requerimento,,Betão,,"Solicita junto a Settra, acesso da linha de ônibus 613 a rua Vereador Raimundo Hargreaves, no bairro Francisco Bernardino.",,Arquivada
,,,,,,,,,,
5804,   ,2013,,Requerimento,,Betão,,"Solicita fechar um buraco localizado na entrada da rede de captação de água pluvial, na rua José Pina no bairro São Pedro.",,Arquivada
,,,,,,,,,,
5803,   ,2013,,Requerimento,,Betão,,"Solicita asfaltamento ou escória na rua Paula Braga, no Náutico.",,Arquivada
,,,,,,,,,,
5802,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a limpeza das bocas de lobo na Rua São João Batista, no Bairro Parque Guarani.",,Arquivada
,,,,,,,,,,
5801,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a limpeza da boca de lobo na Av. Juiz de Fora, no Bairro Parque guarani.",,Arquivada
,,,,,,,,,,
5800,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a limpeza da boca de lobo na Rua Helena Andrade Santos, no Bairro Parque Guarani.",,Arquivada
,,,,,,,,,,
5799,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita asfaltamento para a Av. Florida, no Bairro Filgueiras.",,Arquivada
,,,,,,,,,,
5798,   ,2013,,Requerimento,,Jucelio,,"Solicita que o proprietário da residência da rua Paissandú nº 96 faça a capina e limpeza e cerque a entrada da casa, situada no bairro Centenário.",,Arquivada
,,,,,,,,,,
5797,   ,2013,,Requerimento,,Jucelio,,"Solicita limpeza das bocas de lobo nas ruas 9 de Julho,João Rosa de Araújo e Avenida Jacob da Silva, no bairro Granjas Betânia.",,Arquivada
,,,,,,,,,,
5796,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita autorização para se ausentar do Município.,,Arquivada
,,,,,,,,,,
5795,   ,2013,,Requerimento,,Isauro Calais,,"Solicita asfaltamento do pátio na Igreja Miguel Arcanjo, no bairro Alto Santo Antônio.",,Arquivada
,,,,,,,,,,
5794,   ,2013,,Requerimento,,Isauro Calais,,"Solicita limpeza do pátio da Igreja Miguel arcanjo, na rua dos Vencedores, no Alto Santo Antônio.",,Arquivada
,,,,,,,,,,
5793,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão da Rua Diogo Álvares no bairro Benfica.,,Arquivada
,,,,,,,,,,
5792,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão da rua Henrique Dias no bairro Benfica.,,Arquivada
,,,,,,,,,,
5791,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em todas as ruas da Região Central de Benfica.,,Arquivada
,,,,,,,,,,
5790,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão da rua Evaristo da veiga no bairro Benfica.,,Arquivada
,,,,,,,,,,
5789,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão da rua Martins Barbosa no bairro Benfica.,,Arquivada
,,,,,,,,,,
5788,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão da Avenida Darcy Vargas no bairro Ipiranga.,,Arquivada
,,,,,,,,,,
5787,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão da rua Antonio Bento Vasconcelos no bairro Previdenciários.,,Arquivada
,,,,,,,,,,
5786,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão do bairro Santa Efigênia.,,Arquivada
,,,,,,,,,,
5785,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão do bairro São Pedro.,,Arquivada
,,,,,,,,,,
5784,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão do bairro Sagrado Coração.,,Arquivada
,,,,,,,,,,
5783,   ,2013,,Requerimento,,Cido Reis,,Solicita tapa buraco urgente em toda extensão do bairro Guaruá.,,Arquivada
,,,,,,,,,,
5782,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita a construção de uma UAPS no bairro Jóquei Clube.,,Arquivada
,,,,,,,,,,
